Altium Designer Pick and Place Locations
C:\ownCloud\Prace\VlastniDPS\LEGO_VL53L1X_Sensor_v2\HW\Dokumentace\v0.2\Pick&Place\pick&place_LEGO_VL53L1X_Sensor_v0.2_2023-02-10_default_PetrVitek.txt

========================================================================================================================
File Design Information:

Date:       10.02.23
Time:       12:47
Revision:   Not in VersionControl
Variant:    default
Units used: mm

Designator Comment                  Layer       Footprint         Center-X(mm) Center-Y(mm) Rotation name                Value             
C1         UniversalCapacitor       BottomLayer C0402             10.0000      6.5000       180      0402B104K250CT      "100nF 25V"       
C2         4.7uF/10V                BottomLayer C0402_big         10.0000      5.5000       0        GRM155R61A475MEAAD  4.7uF/10V         
C3         UniversalCapacitor       TopLayer    C0402             9.0850       6.2500       180      0402B104K250CT      "100nF 25V"       
C4         UniversalCapacitor       TopLayer    C0402_big         11.0750      5.8940       180      GRM155R61A475MEAAD  4.7uF/10V         
C5         UniversalCapacitor       TopLayer    C0402_big         8.1250       4.0000       270      GRM155R61A475MEAAD  4.7uF/10V         
C6         UniversalCapacitor       TopLayer    C0402             14.3750      1.9650       90       0402B104K250CT      "100nF 25V"       
C7         UniversalCapacitor       TopLayer    C0402             17.8100      5.1857       180      0402B104K250CT      "100nF 25V"       
C9         UniversalCapacitor       TopLayer    C0402             15.3500      7.3750       180      0402B104K250CT      "100nF 25V"       
C10        UniversalCapacitor       TopLayer    C0402             8.7500       17.6000      270      0402B104K250CT      "100nF 25V"       
C11        UniversalCapacitor       TopLayer    C0402             12.6500      17.6000      270      0402B104K250CT      "100nF 25V"       
C12        UniversalCapacitor       TopLayer    C0402             9.0850       7.3750       180      0402B104K250CT      "100nF 25V"       
C13        UniversalCapacitor       TopLayer    C0402             4.1750       12.0250      0        0402B104K250CT      "100nF 25V"       
C14        UniversalCapacitor       TopLayer    C0402             13.4500      7.3750       180      0402B104K250CT      "100nF 25V"       
C15        UniversalCapacitor       TopLayer    C0402             15.6750      12.2750      180      0402B104K250CT      "100nF 25V"       
C16        4.7uF/10V                TopLayer    C0402_big         15.3500      8.3750       0        GRM155R61A475MEAAD  4.7uF/10V         
C17        4.7uF/10V                TopLayer    C0402_big         15.3500      9.3750       0        GRM155R61A475MEAAD  4.7uF/10V         
